MN#,Date,Mouse#,Mouse age,Mouse DoB,Mouse sex,Mouse genotype,Mouse COMMENT,Nerve,Depth,Electrode TYPE,Electrode resistance,USER,Vm (mV),,GinPeak,GinPlat,SR,Ion (nA),asc slope (Hz/nA),Vth (mV)
304,23/04/2010,159,46,40245,female,-/-,FEMALE - EARTAG 2515,vS1L,127,KCl/KAcetate 2M,35,Marin,-63,127.388535,0.127388535,0.162337662,1.27,3.220825,5.424074,-40.67
305,23/04/2010,159,46,40245,female,-/-,FEMALE - EARTAG 2515,vS1L,124,KCl/KAcetate 2M,35,Marin,-60,173.0103806,0.173010381,0.245700246,1.42,,,
214-215,12/08/2009,101,44,39993,female,-/-,female - eartag #591,vS1R,108,KCl/KAcetate 2M,60,Marin,-65,66.84491979,0.06684492,0.07057163,1.06,4.898682,5.74,
253-254,20/01/2010,122,,,male,-/-,male - eartag 1979 - ask DoB to Ronggen ,vS2L,135,KCl/KAcetate 2M,60,Marin,-65,99.60159363,0.099601594,0.109051254,1.09,3.379037,7.19,
256-257,04/02/2010,126,46,40167,male,-/-,male - eartag 2040,vS1R,155,KCl/KAcetate 2M,45,Marin,-66,61.69031462,0.061690315,0.068775791,1.11,1.194807,21.484395,-46.73
267-268,24/02/2010,130,48,40185,female,-/-,female - eartag 2156,vS2L,156,KCl/KAcetate 2M,50,Marin,-52,92.42144177,0.092421442,0.107066381,1.16,,,
286-287,17/03/2010,146,57,40197,female,-/-,female - eartag 2299,vS2L,89,KCl/KAcetate 2M,30,Marin+Sherif,-66,136.6120219,0.136612022,0.162074554,1.19,5.333252,5.734375,-39
30,08/07/2008,14,41,28/05/2008 00:00,female,G1H/-,female tag #8211 cage #305820,vS3L,45,K-Acetate 2M,20,Marin+Sherif,-57,357.1428571,0.357142857,0.381679389,1.07,,,
32,08/07/2008,14,41,28/05/2008 00:00,female,G1H/-,female tag #8211 cage #305820,vS3L,284,K-Acetate 2M,20,Marin+Sherif,-63,224.7191011,0.224719101,0.243902439,1.09,3.643188,2.52,-37.15
54,17/07/2008,21,41,06/06/2008 00:00,female,G1H/-,female,vS2L,89,K-Acetate 2M,38,Marin,-66,88.33922261,0.088339223,0.09487666,1.07,2.500305,8.259385,-42.2
55,17/07/2008,21,41,06/06/2008 00:00,female,G1H/-,female,vS2L,54,K-Acetate 2M,23,Marin,-75,176.056338,0.176056338,0.229357798,1.3,4.662476,4.870168,-45.63
63,30/07/2008,25,43,17/06/2008 00:00,female,G1H/-,eartag #8277 cage #309387,vS2R,94,K-Acetate 2M,37,Marin,-58,284.0909091,0.284090909,0.286532951,1.01,,,
67,07/10/2008,38,44,24/08/2008 00:00,male,G1H/-,male - eartag #8647 cage # B08609,vS3L,165,K-Acetate 2M,65,Marin+Sherif,-66,160.2564103,0.16025641,0.168634064,1.05,,,
69,07/10/2008,38,44,24/08/2008 00:00,male,G1H/-,male - eartag #8647 cage # B08609,vS1L,205,K-Acetate 2M,30,Marin+Sherif,-62.5,182.8153565,0.182815356,0.205338809,1.12,,,
70,14/10/2008,40,42,02/09/2008 00:00,male,G1H/-,male -eartag #8728 cage #B08610,vS2L,107,K-Acetate 2M,50,Marin+Sherif,-63,167.7852349,0.167785235,0.198412698,1.18,3.540039,8.64,-47.42
71,14/10/2008,40,42,02/09/2008 00:00,male,G1H/-,male -eartag #8728 cage #B08610,vS2L,254,K-Acetate 2M,50,Marin+Sherif,-59,138.8888889,0.138888889,0.153374233,1.1,0.657959,15.717255,-45.97
74,21/10/2008,42,41,10/09/2008 00:00,male,G1H/-,male - eartag #8745 cage A26915,vS3R,158,K-Acetate 2M,5,Marin+Sherif,-63,259.0673575,0.259067358,0.378787879,1.46,1.14563,,-43.4
75,21/10/2008,42,41,10/09/2008 00:00,male,G1H/-,male - eartag #8745 cage A26915,vS3R,167,K-Acetate 2M,5,Marin+Sherif,-70,167.7852349,0.167785235,0.224215247,1.34,3.955078,8.514668,-40.39
80,30/10/2008,44,50,10/09/2008 00:00,female,G1H/-,female - eartag #8751 cage #A26633,vS2L,200,K-Acetate 2M,25,Marin+Sherif,-57,269.541779,0.269541779,0.346020761,1.28,6.358032,10.885072,-36
81,30/10/2008,44,50,10/09/2008 00:00,female,G1H/-,female - eartag #8751 cage #A26633,vS2L,191,K-Acetate 2M,25,Marin+Sherif,-62,383.1417625,0.383141762,0.549450549,1.43,3.042603,14.65,-52.31
82,04/11/2008,45,40,25/09/2008 00:00,female,G1H/-,female - eartag #8791 cage #314387,vS2R,120,K-Acetate 2M,40,Marin+Sherif,-73,152.6717557,0.152671756,0.185185185,1.21,5.031738,12.405723,-47.91
88,11/11/2008,47,45,27/09/2008 00:00,female,G1H/-,female - eartag #8816 cage #B15683,vS2R,153,K-Acetate 2M,35,Marin+Sherif,-58,340.1360544,0.340136054,0.366300366,1.08,,,
89,11/11/2008,47,45,27/09/2008 00:00,female,G1H/-,female - eartag #8816 cage #B15683,vS2R,120,K-Acetate 2M,35,Marin+Sherif,-63,198.4126984,0.198412698,0.23255814,1.17,,,
90,11/11/2008,47,45,27/09/2008 00:00,female,G1H/-,female - eartag #8816 cage #B15683,vS2R,181,K-Acetate 2M,35,Marin+Sherif,-62,183.1501832,0.183150183,0.21141649,1.15,,,
94,13/11/2008,48,47,27/09/2008 00:00,female,G1H/-,female - eartag #8812 cage #B15683,vS1L,163,K-Acetate 2M,40,Marin,-63,0,,0.145137881,,,,
276,26/02/2010,131,50,07/01/2010 00:00,female,G1H/-,female,vS2R,700,KCl 3M,25,Marin,-60,128.3697047,0.128369705,0.145560408,1.13,1.745605,21.11,-45.96
284,12/03/2010,141,47,24/01/2010 00:00,female,G1H/-,female - eartag 2239,vS2R,178,KCl/KAcetate 2M,60,Marin,-56,128.7001287,0.128700129,0.128700129,1,1.077576,8.898273,-46.71
288,15/04/2010,153,43,03/03/2010 00:00,female,G1H/-,female,vS1L,204,KCl/KAcetate 2M,80,Marin,-54,0,,,,,,
292,15/04/2010,153,43,03/03/2010 00:00,female,G1H/-,female,vS1L,126,KCl/KAcetate 2M,25,Marin,-61,146.8428781,0.146842878,0.188679245,1.28,,,
297,22/04/2010,158,45,08/03/2010 00:00,female,G1H/-,female - eartag 2508 -- date of birth approx,vS2L,115,KCl/KAcetate 2M,60,Marin,-52,115.8748552,0.115874855,0.140646976,1.21,,,
302,22/04/2010,158,45,08/03/2010 00:00,female,G1H/-,female - eartag 2508 -- date of birth approx,vS2R,169,KCl/KAcetate 2M,65,Marin,-55,88.88888889,0.088888889,0.100806452,1.13,,,
310,29/04/2010,163,45,15/03/2010 00:00,female,G1H/-,female - eartag 2552,vS1R,300,KCl 3M,11,Marin,-60,192.6782274,0.192678227,0.235294118,1.22,,,
311,29/04/2010,163,45,15/03/2010 00:00,female,G1H/-,female - eartag 2552,vS1R,285,KCl 3M,11,Marin,-61,181.4882033,0.181488203,0.215517241,1.19,,,
312,29/04/2010,163,45,15/03/2010 00:00,female,G1H/-,female - eartag 2552,vS1R,220,KCl/KAcetate 2M,65,Marin,-72,105.0420168,0.105042017,0.111607143,1.06,,,
313,29/04/2010,163,45,15/03/2010 00:00,female,G1H/-,female - eartag 2552,vS1R,100,KCl/KAcetate 2M,65,Marin,-61,151.7450683,0.151745068,0.151515152,1,,,
315,29/04/2010,163,45,15/03/2010 00:00,female,G1H/-,female - eartag 2552,vS1R,151,KCl/KAcetate 2M,25,Marin,-60,212.3142251,0.212314225,0.221238938,1.04,,,
316,29/04/2010,163,45,15/03/2010 00:00,female,G1H/-,female - eartag 2552,vS3R,166,KCl/KAcetate 2M,25,Marin,-64,260.4166667,0.260416667,0.273972603,1.05,4.752502,5.3,-37.79
277-278,26/02/2010,131,50,07/01/2010 00:00,female,G1H/-,female,vS2R,793,KCl 3M,25,Marin,-60,200.4008016,0.200400802,0.233100233,1.16,1.845398,5.90878,-49.22
289-291,15/04/2010,153,43,03/03/2010 00:00,female,G1H/-,female,vS1L,223,KCl/KAcetate 2M,80,Marin,-60,117.7856302,0.11778563,0.183150183,1.56,2.701721,11.91,-34.48
298-299,22/04/2010,158,45,08/03/2010 00:00,female,G1H/-,female - eartag 2508 -- date of birth approx,vS2R,176,KCl/KAcetate 2M,55,Marin,-63,131.2335958,0.131233596,0.151975684,1.16,,,
300-301,22/04/2010,158,45,08/03/2010 00:00,female,G1H/-,female - eartag 2508 -- date of birth approx,vS2R,192,KCl/KAcetate 2M,55,Marin,-67,98.42519685,0.098425197,0.114942529,1.17,2.610198,12.58,-33.51
